,OVERALL,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DEF,,,,,K,,
Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team,,Rank,Player,Position,NFL Team
1,Ja'Marr Chase,WR,CIN,,1,Lamar Jackson,QB,BAL,,1,Jahmyr Gibbs,RB,DET,,1,Ja'Marr Chase,WR,CIN,,1,Brock Bowers,TE,LV,,1,Denver Broncos,DEF,DEN,,1,Brandon Aubrey,K,DAL
2,CeeDee Lamb,WR,DAL,,2,Josh Allen,QB,BUF,,2,Bijan Robinson,RB,ATL,,2,CeeDee Lamb,WR,DAL,,2,Trey McBride,TE,ARI,,2,Philadelphia Eagles,DEF,PHI,,2,Chris Boswell,K,PIT
3,Jahmyr Gibbs,RB,DET,,3,Jalen Hurts,QB,PHI,,3,Saquon Barkley,RB,PHI,,3,Justin Jefferson,WR,MIN,,3,George Kittle,TE,SF,,3,Baltimore Ravens,DEF,BAL,,3,Cameron Dicker,K,LAC
4,Bijan Robinson,RB,ATL,,4,Jayden Daniels,QB,WAS,,4,Christian McCaffrey,RB,SF,,4,Nico Collins,WR,HOU,,4,Sam LaPorta,TE,DET,,4,Houston Texans,DEF,HOU,,4,Harrison Butker,K,KC
5,Saquon Barkley,RB,PHI,,5,Joe Burrow,QB,CIN,,5,De'Von Achane,RB,MIA,,5,Malik Nabers,WR,NYG,,5,T.J. Hockenson,TE,MIN,,5,Pittsburgh Steelers,DEF,PIT,,5,Jake Bates,K,DET
6,Justin Jefferson,WR,MIN,,6,Patrick Mahomes,QB,KC,,6,Derrick Henry,RB,BAL,,6,Amon-Ra St. Brown,WR,DET,,6,Mark Andrews,TE,BAL,,6,Minnesota Vikings,DEF,MIN,,6,Wil Lutz,K,DEN
7,Nico Collins,WR,HOU,,7,Bo Nix,QB,DEN,,7,Ashton Jeanty,RB,LV,,7,Brian Thomas,WR,JAX,,7,Travis Kelce,TE,KC,,7,Buffalo Bills,DEF,BUF,,7,Chase McLaughlin,K,TB
8,Malik Nabers,WR,NYG,,8,Brock Purdy,QB,SF,,8,Chase Brown,RB,CIN,,8,Puka Nacua,WR,LAR,,8,David Njoku,TE,CLE,,8,Kansas City Chiefs,DEF,KC,,8,Matt Gay,K,WAS
9,Amon-Ra St. Brown,WR,DET,,9,Baker Mayfield,QB,TB,,9,Josh Jacobs,RB,GB,,9,Drake London,WR,ATL,,9,Tucker Kraft,TE,GB,,9,Los Angeles Rams,DEF,LAR,,9,Tyler Bass,K,BUF
10,Brian Thomas,WR,JAX,,10,Caleb Williams,QB,CHI,,10,Bucky Irving,RB,TB,,10,A.J. Brown,WR,PHI,,10,Tyler Warren,TE,IND,,10,New England Patriots,DEF,NE,,10,Jake Elliott,K,PHI
11,Puka Nacua,WR,LAR,,11,Jared Goff,QB,DET,,11,Jonathan Taylor,RB,IND,,11,Ladd McConkey,WR,LAC,,11,Jake Ferguson,TE,DAL,,11,Detroit Lions,DEF,DET,,11,Tyler Loop,K,BAL
12,Christian McCaffrey,RB,SF,,12,Dak Prescott,QB,DAL,,12,Kyren Williams,RB,LAR,,12,Mike Evans,WR,TB,,12,Evan Engram,TE,DEN,,12,New York Jets,DEF,NYJ,,12,Will Reichard,K,MIN
13,De'Von Achane,RB,MIA,,13,Trevor Lawrence,QB,JAX,,13,Omarion Hampton,RB,LAC,,13,Tee Higgins,WR,CIN,,13,Colston Loveland,TE,CHI,,13,Los Angeles Chargers,DEF,LAC,,13,Ka'imi Fairbairn,K,HOU
14,Derrick Henry,RB,BAL,,14,Drake Maye,QB,NE,,14,Alvin Kamara,RB,NO,,14,Terry McLaurin,WR,WAS,,14,Zach Ertz,TE,WAS,,14,San Francisco 49ers,DEF,SF,,14,Brandon McManus,K,GB
15,Drake London,WR,ATL,,15,Kyler Murray,QB,ARI,,15,James Cook,RB,BUF,,15,Jaxon Smith-Njigba,WR,SEA,,15,Dalton Kincaid,TE,BUF,,15,Seattle Seahawks,DEF,SEA,,15,Jason Sanders,K,MIA
16,Ashton Jeanty,RB,LV,,16,Justin Fields,QB,NYJ,,16,Kenneth Walker,RB,SEA,,16,Garrett Wilson,WR,NYJ,,16,Brenton Strange,TE,JAX,,16,Chicago Bears,DEF,CHI,,16,Evan McPherson,K,CIN
17,Chase Brown,RB,CIN,,17,Jordan Love,QB,GB,,17,James Conner,RB,ARI,,17,Davante Adams,WR,LAR,,17,Dallas Goedert,TE,PHI,,17,Arizona Cardinals,DEF,ARI,,17,Joshua Karty,K,LAR
18,A.J. Brown,WR,PHI,,18,Justin Herbert,QB,LAC,,18,Tony Pollard,RB,TEN,,18,Tyreek Hill,WR,MIA,,18,Hunter Henry,TE,NE,,18,Green Bay Packers,DEF,GB,,18,Younghoe Koo,K,ATL
19,Josh Jacobs,RB,GB,,19,C.J. Stroud,QB,HOU,,19,TreVeyon Henderson,RB,NE,,19,Calvin Ridley,WR,TEN,,19,Mike Gesicki,TE,CIN,,19,Dallas Cowboys,DEF,DAL,,19,Jake Moody,K,SF
20,Bucky Irving,RB,TB,,20,J.J. McCarthy,QB,MIN,,20,Chuba Hubbard,RB,CAR,,20,Courtland Sutton,WR,DEN,,20,Kyle Pitts,TE,ATL,,20,New York Giants,DEF,NYG,,20,Jason Myers,K,SEA
21,Jonathan Taylor,RB,IND,,21,Matthew Stafford,QB,LAR,,21,Breece Hall,RB,NYJ,,21,DeVonta Smith,WR,PHI,,21,Jonnu Smith,TE,PIT,,21,Washington Commanders,DEF,WAS,,21,Chad Ryland,K,ARI
22,Brock Bowers,TE,LV,,22,Tua Tagovailoa,QB,MIA,,22,Aaron Jones,RB,MIN,,22,George Pickens,WR,DAL,,22,Cade Otton,TE,TB,,22,Cleveland Browns,DEF,CLE,,22,Cairo Santos,K,CHI
23,Trey McBride,TE,ARI,,23,Geno Smith,QB,LV,,23,Isiah Pacheco,RB,KC,,23,Marvin Harrison Jr.,WR,ARI,,23,Isaiah Likely,TE,BAL,,23,Indianapolis Colts,DEF,IND,,23,Daniel Carlson,K,LV
24,Ladd McConkey,WR,LAC,,24,Michael Penix,QB,ATL,,24,RJ Harvey,RB,DEN,,24,Jameson Williams,WR,DET,,24,Juwan Johnson,TE,NO,,24,Tampa Bay Buccaneers,DEF,TB,,24,Cam Little,K,JAX
25,Lamar Jackson,QB,BAL,,25,Bryce Young,QB,CAR,,25,D'Andre Swift,RB,CHI,,25,Xavier Worthy,WR,KC,,25,Ja'Tavion Sanders,TE,CAR,,25,Miami Dolphins,DEF,MIA,,25,Graham Gano,K,NYG
26,Josh Allen,QB,BUF,,26,Sam Darnold,QB,SEA,,26,Tyrone Tracy,RB,NYG,,26,Zay Flowers,WR,BAL,,26,Chig Okonkwo,TE,TEN,,26,Atlanta Falcons,DEF,ATL,,26,Andy Borregales,K,NE
27,Mike Evans,WR,TB,,27,Daniel Jones,QB,IND,,27,David Montgomery,RB,DET,,27,Rome Odunze,WR,CHI,,27,Darren Waller,TE,NYG,,27,Cincinnati Bengals,DEF,CIN,,27,Spencer Shrader,K,IND
28,Tee Higgins,WR,CIN,,28,Aaron Rodgers,QB,PIT,,28,Jaylen Warren,RB,PIT,,28,DJ Moore,WR,CHI,,28,Mason Taylor,TE,NYJ,,28,Las Vegas Raiders,DEF,LV,,28,Blake Grupe,K,NO
29,Kyren Williams,RB,LAR,,29,Cameron Ward,QB,TEN,,29,J.K. Dobbins,RB,DEN,,29,Travis Hunter,WR,JAX,,29,Dalton Schultz,TE,HOU,,29,Tennessee Titans,DEF,TEN,,29,Matthew Wright,K,CAR
30,Terry McLaurin,WR,WAS,,30,Russell Wilson,QB,NYG,,30,Kaleb Johnson,RB,PIT,,30,Tetairoa McMillan,WR,CAR,,30,Theo Johnson,TE,NYG,,30,New Orleans Saints,DEF,NO,,30,Joey Slye,K,TEN
31,Jaxon Smith-Njigba,WR,SEA,,31,Joe Flacco,QB,CLE,,31,Javonte Williams,RB,DAL,,31,Rashee Rice,WR,KC,,31,Elijah Arroyo,TE,SEA,,31,Jacksonville Jaguars,DEF,JAX,,31,Harrison Mevis,K,NYJ
32,Omarion Hampton,RB,LAC,,32,Anthony Richardson,QB,IND,,32,Jacory Croskey-Merritt,RB,WAS,,32,DK Metcalf,WR,PIT,,32,Pat Freiermuth,TE,PIT,,32,Carolina Panthers,DEF,CAR,,32,Dustin Hopkins,K,CLE
33,Alvin Kamara,RB,NO,,33,Jaxson Dart,QB,NYG,,33,Travis Etienne,RB,JAX,,33,Emeka Egbuka,WR,TB,,33,Terrance Ferguson,TE,LAR,,,,,,,,,,
34,George Kittle,TE,SF,,34,Tyler Shough,QB,NO,,34,Dylan Sampson,RB,CLE,,34,Ricky Pearsall,WR,SF,,,,,,,,,,,,,,,
35,Garrett Wilson,WR,NYJ,,,,,,,35,Austin Ekeler,RB,WAS,,35,Matthew Golden,WR,GB,,,,,,,,,,,,,,,
36,Jalen Hurts,QB,PHI,,,,,,,36,Jordan Mason,RB,MIN,,36,Jaylen Waddle,WR,MIA,,,,,,,,,,,,,,,
37,Jayden Daniels,QB,WAS,,,,,,,37,Tank Bigsby,RB,JAX,,37,Khalil Shakir,WR,BUF,,,,,,,,,,,,,,,
38,James Cook,RB,BUF,,,,,,,38,Jerome Ford,RB,CLE,,38,Jerry Jeudy,WR,CLE,,,,,,,,,,,,,,,
39,Kenneth Walker,RB,SEA,,,,,,,39,Rhamondre Stevenson,RB,NE,,39,Chris Olave,WR,NO,,,,,,,,,,,,,,,
40,Davante Adams,WR,LAR,,,,,,,40,Zach Charbonnet,RB,SEA,,40,Jakobi Meyers,WR,LV,,,,,,,,,,,,,,,
41,Tyreek Hill,WR,MIA,,,,,,,41,Braelon Allen,RB,NYJ,,41,Josh Downs,WR,IND,,,,,,,,,,,,,,,
42,Calvin Ridley,WR,TEN,,,,,,,42,Rachaad White,RB,TB,,42,Jordan Addison,WR,MIN,,,,,,,,,,,,,,,
43,Courtland Sutton,WR,DEN,,,,,,,43,Cam Skattebo,RB,NYG,,43,Jauan Jennings,WR,SF,,,,,,,,,,,,,,,
44,DeVonta Smith,WR,PHI,,,,,,,44,Jaydon Blue,RB,DAL,,44,Deebo Samuel,WR,WAS,,,,,,,,,,,,,,,
45,James Conner,RB,ARI,,,,,,,45,Woody Marks,RB,HOU,,45,Stefon Diggs,WR,NE,,,,,,,,,,,,,,,
46,Tony Pollard,RB,TEN,,,,,,,46,Nick Chubb,RB,HOU,,46,Darnell Mooney,WR,ATL,,,,,,,,,,,,,,,
47,TreVeyon Henderson,RB,NE,,,,,,,47,Ray Davis,RB,BUF,,47,Michael Pittman,WR,IND,,,,,,,,,,,,,,,
48,George Pickens,WR,DAL,,,,,,,48,Najee Harris,RB,LAC,,48,Cooper Kupp,WR,SEA,,,,,,,,,,,,,,,
49,Chuba Hubbard,RB,CAR,,,,,,,49,Bhayshul Tuten,RB,JAX,,49,Chris Godwin,WR,TB,,,,,,,,,,,,,,,
50,Breece Hall,RB,NYJ,,,,,,,50,Trey Benson,RB,ARI,,50,Cedric Tillman,WR,CLE,,,,,,,,,,,,,,,
51,Marvin Harrison Jr.,WR,ARI,,,,,,,51,Chris Rodriguez,RB,WAS,,51,Keon Coleman,WR,BUF,,,,,,,,,,,,,,,
52,Joe Burrow,QB,CIN,,,,,,,52,Ollie Gordon,RB,MIA,,52,Romeo Doubs,WR,GB,,,,,,,,,,,,,,,
53,Jameson Williams,WR,DET,,,,,,,53,Roschon Johnson,RB,CHI,,53,Christian Kirk,WR,HOU,,,,,,,,,,,,,,,
54,Xavier Worthy,WR,KC,,,,,,,54,Tyler Allgeier,RB,ATL,,54,Jayden Higgins,WR,HOU,,,,,,,,,,,,,,,
55,Zay Flowers,WR,BAL,,,,,,,55,Brian Robinson,RB,SF,,55,Adam Thielen,WR,MIN,,,,,,,,,,,,,,,
56,Rome Odunze,WR,CHI,,,,,,,56,Tyjae Spears,RB,TEN,,56,Rashid Shaheed,WR,NO,,,,,,,,,,,,,,,
57,DJ Moore,WR,CHI,,,,,,,57,Quinshon Judkins,RB,CLE,,57,Xavier Legette,WR,CAR,,,,,,,,,,,,,,,
58,Travis Hunter,WR,JAX,,,,,,,58,Rico Dowdle,RB,CAR,,58,Brandon Aiyuk,WR,SF,,,,,,,,,,,,,,,
59,Tetairoa McMillan,WR,CAR,,,,,,,59,Isaac Guerendo,RB,SF,,59,Dont'e Thornton,WR,LV,,,,,,,,,,,,,,,
60,Rashee Rice,WR,KC,,,,,,,60,Joe Mixon,RB,HOU,,60,Jayden Reed,WR,GB,,,,,,,,,,,,,,,
61,DK Metcalf,WR,PIT,,,,,,,,,,,,61,Keenan Allen,WR,LAC,,,,,,,,,,,,,,,
62,Sam LaPorta,TE,DET,,,,,,,,,,,,62,Wan'Dale Robinson,WR,NYG,,,,,,,,,,,,,,,
63,Aaron Jones,RB,MIN,,,,,,,,,,,,63,Luther Burden,WR,CHI,,,,,,,,,,,,,,,
64,Isiah Pacheco,RB,KC,,,,,,,,,,,,64,Kyle Williams,WR,NE,,,,,,,,,,,,,,,
65,Emeka Egbuka,WR,TB,,,,,,,,,,,,65,Rashod Bateman,WR,BAL,,,,,,,,,,,,,,,
66,RJ Harvey,RB,DEN,,,,,,,,,,,,66,Tre Harris,WR,LAC,,,,,,,,,,,,,,,
67,T.J. Hockenson,TE,MIN,,,,,,,,,,,,67,Joshua Palmer,WR,BUF,,,,,,,,,,,,,,,
68,Ricky Pearsall,WR,SF,,,,,,,,,,,,68,Quentin Johnston,WR,LAC,,,,,,,,,,,,,,,
69,Matthew Golden,WR,GB,,,,,,,,,,,,69,Alec Pierce,WR,IND,,,,,,,,,,,,,,,
70,Jaylen Waddle,WR,MIA,,,,,,,,,,,,70,Tory Horton,WR,SEA,,,,,,,,,,,,,,,
71,Khalil Shakir,WR,BUF,,,,,,,,,,,,71,DeAndre Hopkins,WR,BAL,,,,,,,,,,,,,,,
72,Jerry Jeudy,WR,CLE,,,,,,,,,,,,72,Adonai Mitchell,WR,IND,,,,,,,,,,,,,,,
73,Chris Olave,WR,NO,,,,,,,,,,,,73,Jalen Coker,WR,CAR,,,,,,,,,,,,,,,
74,Jakobi Meyers,WR,LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,D'Andre Swift,RB,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Tyrone Tracy,RB,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Josh Downs,WR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,David Montgomery,RB,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Jordan Addison,WR,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Jauan Jennings,WR,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Jaylen Warren,RB,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,J.K. Dobbins,RB,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Kaleb Johnson,RB,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Mark Andrews,TE,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Deebo Samuel,WR,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Stefon Diggs,WR,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Darnell Mooney,WR,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Michael Pittman,WR,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Travis Kelce,TE,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Patrick Mahomes,QB,KC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bo Nix,QB,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Brock Purdy,QB,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Baker Mayfield,QB,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Cooper Kupp,WR,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,David Njoku,TE,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Tucker Kraft,TE,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Tyler Warren,TE,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Jake Ferguson,TE,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Javonte Williams,RB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Jacory Croskey-Merritt,RB,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Caleb Williams,QB,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Jared Goff,QB,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Chris Godwin,WR,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Travis Etienne,RB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Dylan Sampson,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Austin Ekeler,RB,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Jordan Mason,RB,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Tank Bigsby,RB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Jerome Ford,RB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Evan Engram,TE,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Rhamondre Stevenson,RB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dak Prescott,QB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Trevor Lawrence,QB,JAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Drake Maye,QB,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Kyler Murray,QB,ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cedric Tillman,WR,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Keon Coleman,WR,BUF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Colston Loveland,TE,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Romeo Doubs,WR,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Zach Charbonnet,RB,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Braelon Allen,RB,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Christian Kirk,WR,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Jayden Higgins,WR,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
